property_name,lat,lon,loc1,loc2,loc3,loc4
Nhà Thuốc FPT Long Châu,10.7454684,106.6647327,61A Dã Tượng,Phường 9,Quận 8,"Thành phố Hồ Chí Minh 700000, Vietnam"
Nhà Thuốc FPT Long Châu,10.755955,106.709367,198O Xóm Chiếu,Phường 14,Quận 4,"Thành phố Hồ Chí Minh 700000, Vietnam"
Nhà Thuốc Long Châu,10.9858865,106.672264,Phú Lợi,Tp. Thủ Dầu Một,Bình Dương,Vietnam
Nhà Thuốc Long Châu 247 - Blog Sức Khỏe,10.82782,106.7015569,"41F/44/9 Đặng Thùy Trâm, F.13, Q",Bình Thạnh,Thành phố Hồ Chí Minh 700000,Vietnam
Nhà thuốc Long Châu,10.236856999999999,106.369034,216 B1 Hoàng Lam,Phường 5,Bến Tre,"86000, Vietnam"
Nhà Thuốc FPT Long Châu,10.840897199999999,106.6650195,294 Thống Nhất,Phường 16,Gò Vấp,"Thành phố Hồ Chí Minh 700000, Vietnam"
Nhà Thuốc Long Châu,10.9895829,106.6421864,Chánh Mỹ,Tp. Thủ Dầu Một,Bình Dương,Vietnam
Nhà Thuốc FPT Long Châu,10.905176299999999,106.7000631,78A Đ. Cách Mạng Tháng Tám,Lái Thiêu,Thuận An,"Bình Dương 820000, Vietnam"
Nhà Thuốc FPT Long Châu,10.8504566,106.6531778,351 Phạm Văn Chiêu,Phường 14,Gò Vấp,"Thành phố Hồ Chí Minh 700000, Vietnam"
Nhà Thuốc FPT Long Châu,10.7736628,106.664689,91 Đ. Thành Thái,Phường 14,Quận 10,"Thành phố Hồ Chí Minh 700000, Vietnam"
Nhà thuốc Long Châu,10.3515652,107.0793537,121 Ba Cu,Phường 4,Thành phố Vũng Tầu,"Bà Rịa - Vũng Tàu 780000, Vietnam"
Nhà thuốc Long Châu,10.353855,106.374455,95/4-95/5 Đinh Bộ Lĩnh,Phường 2,Thành phố Mỹ Tho,"Tiền Giang 840000, Vietnam"
Nhà Thuốc Long Châu,11.317926,106.098953,418 Đường 30/4,P. 3,Tây Ninh,"800000, Vietnam"
Nhà Thuốc FPT Long Châu,10.737266499999999,106.62179409999999,329A An D. Vương,An Lạc,Bình Tân,"Thành phố Hồ Chí Minh 700000, Vietnam"
Nhà Thuốc Long Châu,10.8144563,106.8601236,210 Long Phước,Quận 9,Thành phố Hồ Chí Minh,Vietnam
Nhà thuốc Long Châu,10.370123099999999,107.0765804,223 Lê Lợi,P,Thành phố Vũng Tầu,"Bà Rịa - Vũng Tàu 780000, Vietnam"
